stage,bleu,rouge1,rouge2,rougeL,rougeLsum,meteor,bertscore_f1,cider,avg_latency_s,avg_tokens,avg_memory_mb
zero-shot (base),0.0476,0.273,0.07,0.182,0.184,0.3822,0.862,0.0016,13.5418,137.06,3039.71
fine-tuned (LoRA),0.141,0.4286,0.1664,0.3318,0.333,0.3927,0.8949,0.2048,9.1575,56.18,4151.92
